1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,1,61192,113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2                             ,Y,836,Directly funded,Y,9,12,468,253,54.10%,337,72.00%,451,241,53.40%,325,72.10%,Y
2014-2015,1,61192,119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Y,1067,Directly funded,Y,1,8,209,18,8.60%,20,9.60%,209,18,8.60%,20,9.60%,Y
2014-2015,1,61192,127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1514,Directly funded,Y,K,8,263,117,44.50%,157,59.70%,259,117,45.20%,155,59.80%,Y
2014-2015,1,61192,127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,,Y,1543,Directly funded,Y,9,12,112,52,46.40%,53,47.30%,112,52,46.40%,53,47.30%,Y
2014-2015,1,61192,131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,K,12,14,11,78.60%,11,78.60%,12,9,75.00%,9,75.00%,Y
2014-2015,1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,185,131,70.80%,139,75.10%,131,97,74.00%,104,79.40%,Y
2014-2015,1,61192,133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,644","1,057",64.30%,"1,218",74.10%,"1,600","1,030",64.40%,"1,188",74.30%,Y
2014-2015,1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,935","1,100",56.80%,"1,337",69.10%,"1,886","1,071",56.80%,"1,301",69.00%,Y
2014-2015,1,61192,138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,324",953,72.00%,"1,078",81.40%,"1,265",910,71.90%,"1,030",81.40%,Y
2014-2015,1,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,455,301,66.20%,353,77.60%,455,301,66.20%,353,77.60%,Y
2014-2015,1,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,794,572,72.00%,643,81.00%,794,572,72.00%,643,81.00%,Y
2014-2015,1,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,783,597,76.20%,665,84.90%,766,583,76.10%,650,84.90%,Y
2014-2015,1,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,635,314,49.40%,352,55.40%,627,311,49.60%,348,55.50%,Y
2014-2015,1,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,506,336,66.40%,383,75.70%,506,336,66.40%,383,75.70%,Y
2014-2015,1,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,600,395,65.80%,451,75.20%,581,385,66.30%,440,75.70%,Y
2014-2015,1,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,548,466,85.00%,494,90.10%,532,458,86.10%,484,91.00%,Y
2014-2015,1,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,608,452,74.30%,501,82.40%,608,452,74.30%,501,82.40%,Y
2014-2015,1,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,692,554,80.10%,618,89.30%,674,544,80.70%,606,89.90%,Y
2014-2015,1,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,493,250,50.70%,297,60.20%,493,250,50.70%,297,60.20%,Y
2014-2015,1,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,579,369,63.70%,429,74.10%,579,369,63.70%,429,74.10%,Y
2014-2015,1,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,614,388,63.20%,429,69.90%,600,379,63.20%,420,70.00%,Y
2014-2015,1,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,603,417,69.20%,470,77.90%,593,410,69.10%,463,78.10%,Y
2014-2015,1,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,744,556,74.70%,618,83.10%,734,549,74.80%,610,83.10%,Y
2014-2015,1,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,651,323,49.60%,382,58.70%,638,316,49.50%,375,58.80%,Y
2014-2015,1,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,553,355,64.20%,389,70.30%,552,354,64.10%,388,70.30%,Y
2014-2015,1,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,636,391,61.50%,437,68.70%,636,391,61.50%,437,68.70%,Y
2014-2015,1,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,547,413,75.50%,475,86.80%,547,413,75.50%,475,86.80%,Y
2014-2015,1,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,596,371,62.20%,438,73.50%,596,371,62.20%,438,73.50%,Y
2014-2015,1,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,529,413,78.10%,470,88.80%,529,413,78.10%,470,88.80%,Y
2014-2015,1,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,620,430,69.40%,486,78.40%,619,430,69.50%,486,78.50%,Y
2014-2015,1,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,829,572,69.00%,662,79.90%,829,572,69.00%,662,79.90%,Y
2014-2015,1,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,559,303,54.20%,356,63.70%,559,303,54.20%,356,63.70%,Y
2014-2015,1,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,769,626,81.40%,664,86.30%,769,626,81.40%,664,86.30%,Y
2014-2015,1,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,145,92,63.40%,107,73.80%,145,92,63.40%,107,73.80%,Y
2014-2015,1,61200,1,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,31,3,9.70%,3,9.70%,29,3,10.30%,3,10.30%,Y
2014-2015,1,61200,107839,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1565,Directly funded,Y,K,8,"1,113",34,3.10%,34,3.10%,"1,097",33,3.00%,33,3.00%,Y
2014-2015,1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,1,12,93,13,14.00%,16,17.20%,84,9,10.70%,12,14.30%,Y
2014-2015,1,61200,132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,7,12,143,75,52.40%,83,58.00%,99,50,50.50%,57,57.60%,Y
2014-2015,1,61200,133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,017",291,14.40%,354,17.60%,"1,950",274,14.10%,335,17.20%,Y
2014-2015,1,61200,134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,771",348,19.60%,430,24.30%,"1,724",334,19.40%,416,24.10%,Y
2014-2015,1,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,872,523,60.00%,570,65.40%,872,523,60.00%,570,65.40%,Y
2014-2015,1,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,624,173,27.70%,206,33.00%,624,173,27.70%,206,33.00%,Y
2014-2015,1,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,727,73,10.00%,82,11.30%,727,73,10.00%,82,11.30%,Y
2014-2015,1,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,532,203,38.20%,248,46.60%,517,199,38.50%,243,47.00%,Y
2014-2015,1,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,581,181,31.20%,203,34.90%,557,178,32.00%,200,35.90%,Y
2014-2015,1,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,421,328,77.90%,351,83.40%,409,318,77.80%,341,83.40%,Y
2014-2015,1,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,958,86,9.00%,107,11.20%,958,86,9.00%,107,11.20%,Y
2014-2015,1,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,651,133,20.40%,153,23.50%,631,132,20.90%,150,23.80%,Y
2014-2015,1,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,661,104,15.70%,139,21.00%,661,104,15.70%,139,21.00%,Y
2014-2015,1,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,553,102,18.40%,131,23.70%,536,99,18.50%,128,23.90%,Y
2014-2015,1,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,792,39,4.90%,45,5.70%,792,39,4.90%,45,5.70%,Y
2014-2015,1,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,594,129,21.70%,158,26.60%,581,123,21.20%,152,26.20%,Y
2014-2015,1,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,519,64,12.30%,87,16.80%,507,62,12.20%,85,16.80%,Y
2014-2015,1,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,N,,,N,K,8,22,2,9.10%,2,9.10%,22,2,9.10%,2,9.10%,Y
2014-2015,1,61234,1,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,7,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,Y
2014-2015,1,61234,130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,850",703,38.00%,838,45.30%,"1,797",680,37.80%,809,45.00%,Y
2014-2015,1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,33,14,42.40%,15,45.50%,30,13,43.30%,14,46.70%,Y
2014-2015,1,61234,135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,90,59,65.60%,64,71.10%,70,47,67.10%,51,72.90%,Y
2014-2015,1,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,468,311,66.50%,355,75.90%,468,311,66.50%,355,75.90%,Y
2014-2015,1,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,319,178,55.80%,202,63.30%,304,176,57.90%,199,65.50%,Y
2014-2015,1,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,406,198,48.80%,218,53.70%,406,198,48.80%,218,53.70%,Y
2014-2015,1,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,423,253,59.80%,288,68.10%,423,253,59.80%,288,68.10%,Y
2014-2015,1,61234,6001499,Alameda,Newark Unified,James L. Bunker Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,543,140,25.80%,167,30.80%,543,140,25.80%,167,30.80%,Y
2014-2015,1,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,369,84,22.80%,92,24.90%,369,84,22.80%,92,24.90%,Y
2014-2015,1,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,418,168,40.20%,211,50.50%,388,157,40.50%,198,51.00%,Y
2014-2015,1,61234,6001531,Alameda,Newark Unified,Louis Milani Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,364,206,56.60%,246,67.60%,364,206,56.60%,246,67.60%,Y
2014-2015,1,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,906,411,45.40%,485,53.50%,906,411,45.40%,485,53.50%,Y
2014-2015,1,61242,1,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,17,2,11.80%,2,11.80%,15,2,13.30%,2,13.30%,Y
2014-2015,1,61242,110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,150,61,40.70%,62,41.30%,80,31,38.80%,32,40.00%,Y
2014-2015,1,61242,110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,8,7,87.50%,7,87.50%,7,6,85.70%,6,85.70%,Y
2014-2015,1,61242,126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,131,48,36.60%,52,39.70%,112,41,36.60%,45,40.20%,Y
2014-2015,1,61242,134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"3,912","1,246",31.90%,"1,556",39.80%,"3,800","1,204",31.70%,"1,511",39.80%,Y
2014-2015,1,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,901,373,41.40%,475,52.70%,886,367,41.40%,466,52.60%,Y
2014-2015,1,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,624,360,57.70%,423,67.80%,603,347,57.50%,405,67.20%,Y
2014-2015,1,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,716,390,54.50%,429,59.90%,701,380,54.20%,419,59.80%,Y
2014-2015,1,61242,6068266,Alameda,New Haven Unified,Alvarado Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,437",386,26.90%,492,34.20%,"1,437",386,26.90%,492,34.20%,Y
2014-2015,1,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,283",564,44.00%,651,50.70%,"1,283",564,44.00%,651,50.70%,Y
2014-2015,1,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,839,233,27.80%,293,34.90%,825,230,27.90%,290,35.20%,Y
2014-2015,1,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,914,322,35.20%,384,42.00%,901,319,35.40%,381,42.30%,Y
2014-2015,1,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,653,329,50.40%,360,55.10%,634,322,50.80%,352,55.50%,Y
2014-2015,1,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,874,129,14.80%,176,20.10%,856,125,14.60%,171,20.00%,Y
2014-2015,1,61259,1,Alameda,Oakland Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,137,34,24.80%,34,24.80%,129,31,24.00%,31,24.00%,Y
2014-2015,1,61259,100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,,Y,510,Directly funded,Y,9,12,311,204,65.60%,244,78.50%,289,187,64.70%,226,78.20%,Y
2014-2015,1,61259,100123,Alameda,Oakland Unified,East Oakland Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,499,Directly funded,Y,K,8,150,131,87.30%,149,99.30%,145,127,87.60%,145,100.00%,Y
2014-2015,1,61259,100701,Alameda,Oakland Unified,MetWest High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,161,110,68.30%,128,79.50%,150,101,67.30%,118,78.70%,Y
2014-2015,1,61259,100792,Alameda,Oakland Unified,Think College Now,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,301,238,79.10%,254,84.40%,301,238,79.10%,254,84.40%,Y
2014-2015,1,61259,102988,Alameda,Oakland Unified,EnCompass Academy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,316,254,80.40%,259,82.00%,301,245,81.40%,249,82.70%,Y
2014-2015,1,61259,106542,Alameda,Oakland Unified,Community Day,Unified School District,District Community Day Schools,Community Day School,Provision 2                                       ,N,,,N,9,12,20,13,65.00%,16,80.00%,16,10,62.50%,13,81.30%,Y
2014-2015,1,61259,106559,Alameda,Oakland Unified,Oakland Community Day Middle,Unified School District,District Community Day Schools,Community Day School,,N,,,N,6,8,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,Y
2014-2015,1,61259,106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,Y,661,Directly funded,Y,6,12,262,229,87.40%,229,87.40%,254,222,87.40%,222,87.40%,Y
